HEXAGONS,HEXAGONS,,ORDRES IMPARTIDES,ORDRES IMPARTIDES,,ACCIONS RESTANTS,ACCIONS RESTANTS,,A,A,A,A,A,A,A
1,red,,Vermell,1,,Vermell,18,,,Inicials V,68,Gastades V,-50,Total,18
2,red,,Blau,1,,Blau,22,,,Inicials B,,Gastades B,,,
3,red,,,,,,,,,,,,,,
4,red,,,,,,,,,,,,,,
5,red,,,,,,,,,,,,,,
6,MAR,,,,,,,,,,,,,,
7,red,,,,,,,,,,,,,,
8,red,,,,,,,,,,,,,,
9,red,,,,,,,,,,,,,,
10,MAR,,,,,,,,,,,,,,
11,MAR,,,,,,,,,,,,,,
12,red,,,,,,,,,,,,,,
13,red,,,,,,,,,,,,,,
14,red,,,,,,,,,,,,,,
15,MAR,,,,,,,,,,,,,,
16,red,,,,,,,,,,,,,,
17,red,,,,,,,,,,,,,,
18,red,,,,,,,,,,,,,,
19,MAR,,,,,,,,,,,,,,
20,red,,,,,,,,,,,,,,
21,red,,,,,,,,,,,,,,
22,red,,,,,,,,,,,,,,
23,red,,,,,,,,,,,,,,
24,red,,,,,,,,,,,,,,
25,red,,,,,,,,,,,,,,
26,red,,,,,,,,,,,,,,
27,red,,,,,,,,,,,,,,
28,MAR,,,,,,,,,,,,,,
29,blue,,,,,,,,,,,,,,
30,blue,,,,,,,,,,,,,,
31,blue,,,,,,,,,,,,,,
32,blue,,,,,,,,,,,,,,
33,blue,,,,,,,,,,,,,,
34,blue,,,,,,,,,,,,,,
35,blue,,,,,,,,,,,,,,
36,blue,,,,,,,,,,,,,,
37,blue,,,,,,,,,,,,,,
38,blue,,,,,,,,,,,,,,
39,blue,,,,,,,,,,,,,,
40,blue,,,,,,,,,,,,,,
41,blue,,,,,,,,,,,,,,
42,blue,,,,,,,,,,,,,,
43,blue,,,,,,,,,,,,,,
44,blue,,,,,,,,,,,,,,
45,blue,,,,,,,,,,,,,,
46,blue,,,,,,,,,,,,,,
47,blue,,,,,,,,,,,,,,
48,blue,,,,,,,,,,,,,,
49,blue,,,,,,,,,,,,,,
50,blue,,,,,,,,,,,,,,
